Year,Make,Model,Quantity,Country,MakeSum,CountrySum,,
2010,Volvo ,Volvo V50,1766,China,7178,7178,,
2010,Volvo ,Volvo V70,4635,China,,,,
2010,Volvo ,Volvo XC60,777,China,,,,
2011,Volvo ,Volvo V50,1580,China,3165,3476,,
2011,Volvo ,Volvo V60,2268,China,311,,,
2011,Volvo ,Volvo V70,4052,China,,,,
2011,Volvo ,Volvo XC60,1922,China,,,,
2012,Volvo ,Volvo V50,2320,China,10885,10885,,
2012,Volvo ,Volvo V60,2860,China,,,,
2012,Volvo ,Volvo V70,3860,China,,,,
2012,Volvo ,Volvo XC60,1815,China,,,,
2013,Volvo ,Volvo V40,2403,China,8860,8860,,
2013,Volvo ,Volvo V60,2407,China,,,,
2013,Volvo ,Volvo V70,3172,China,,,,
2013,Volvo ,Volvo XC60,878,China,,,,
2014,Volvo ,Volvo V40,2009,China,6284,6284,,
2014,Volvo ,Volvo V70,3101,China,,,,
2014,Volvo ,Volvo XC60,1174,China,,,,
2015,Volvo ,Volvo V40,400,China,5552,5552,,
2015,Volvo ,Volvo V60,553,China,,,,
2015,Volvo ,Volvo V70,2611,China,,,,
2015,Volvo ,Volvo XC60,1988,China,,,,
2016,Volvo ,Volvo V40,226,China,3054,3054,,
2016,Volvo ,Volvo V70,1116,China,,,,
2016,Volvo ,Volvo XC60,646,China,,,,
2016,Volvo ,Volvo XC90,1066,China,,,,
2010,Peugeot ,Peugeot 207,171,France,3647,3647,,
2010,Peugeot ,Peugeot 3008,3165,France,,,,
2010,Peugeot ,Peugeot 308,311,France,,,,
2011,Peugeot ,Peugeot 3008,1167,France,2558,2558,,311
2011,Peugeot ,Peugeot 508,1391,France,,,,
2012,Peugeot ,Peugeot 208,333,France,1519,1519,,
2012,Peugeot ,Peugeot 508,1186,France,,,,
2013,Peugeot ,Peugeot 2008,72,France,1566,1566,,
2013,Peugeot ,Peugeot 208,1194,France,,,,
2013,Peugeot ,Peugeot 508,300,France,,,,
2014,Peugeot ,Peugeot 2008,383,France,943,943,,
2014,Peugeot ,Peugeot 308,560,France,,,,
2015,Peugeot ,Peugeot 308,1468,France,2496,2496,,
2015,Renault ,Renault Zoe,1028,France,,,,
2016,Peugeot ,Peugeot 2008,260,France,3033,3033,,
2016,Peugeot ,Peugeot 308,1176,France,,,,
2016,Renault ,Renault Zoe,1597,France,,,,
2010,Audi ,Audi A3,635,Germany,3911,23964,,
2010,Audi ,Audi A4,3276,Germany,,,,
2010,Opel ,Opel Astra,1202,Germany,1202,,,
2010,Skoda ,Skoda Octavia,1897,Germany,1897,,,
2010,Volkswagen ,Volkswagen Golf,8229,Germany,16954,,,
2010,Volkswagen ,Volkswagen Passat,3163,Germany,,,,
2010,Volkswagen ,Volkswagen Polo,3310,Germany,,,,
2010,Volkswagen ,Volkswagen Tiguan,2252,Germany,,,,
2011,Audi ,Audi A4,2175,Germany,2488,23878,,
2011,BMW ,BMW X1,168,Germany,,,,
2011,BMW ,BMW X3,145,Germany,,,,
2011,Opel ,Opel Astra,2168,Germany,2168,,,
2011,Skoda ,Skoda Octavia,2257,Germany,2257,,,
2011,Volkswagen ,Volkswagen Golf,7370,Germany,16965,,,
2011,Volkswagen ,Volkswagen Passat,3269,Germany,,,,
2011,Volkswagen ,Volkswagen Polo,3301,Germany,,,,
2011,Volkswagen ,Volkswagen Tiguan,2158,Germany,,,,
2011,Volkswagen ,Volkswagen Touran,867,Germany,,,,
2012,Audi ,Audi A4,1543,Germany,4230,23618,,
2012,Audi ,Audi Q3,159,Germany,,,,
2012,BMW ,BMW 1-serie,133,Germany,,,,
2012,BMW ,BMW 3-serie,358,Germany,,,,
2012,BMW ,BMW X3,2037,Germany,,,,
2012,Mercedes-Benz ,Mercedes-Benz A-klasse,131,Germany,586,,,
2012,Mercedes-Benz ,Mercedes-Benz B-klasse,309,Germany,,,,
2012,Mercedes-Benz ,Mercedes-Benz C-klasse,146,Germany,,,,
2012,Skoda ,Skoda Octavia,2219,Germany,2476,,,
2012,Skoda ,Skoda Superb,257,Germany,,,,
2012,Volkswagen ,Volkswagen Golf,6313,Germany,16326,,,
2012,Volkswagen ,Volkswagen Passat,3290,Germany,,,,
2012,Volkswagen ,Volkswagen Polo,3179,Germany,,,,
2012,Volkswagen ,Volkswagen Tiguan,3336,Germany,,,,
2012,Volkswagen ,Volkswagen up!,208,Germany,,,,
2013,Audi ,Audi A3,1211,Germany,6541,26233,,
2013,Audi ,Audi A4,2179,Germany,,,,
2013,Audi ,Audi Q3,59,Germany,,,,
2013,BMW ,BMW 1-serie,740,Germany,,,,
2013,BMW ,BMW 3-serie,1192,Germany,,,,
2013,BMW ,BMW X1,65,Germany,,,,
2013,BMW ,BMW X3,1095,Germany,,,,
2013,Mercedes-Benz ,Mercedes-Benz A-klasse,2081,Germany,2456,,,
2013,Mercedes-Benz ,Mercedes-Benz B-klasse,86,Germany,,,,
2013,Mercedes-Benz ,Mercedes-Benz C-klasse,63,Germany,,,,
2013,Mercedes-Benz ,Mercedes-Benz CLA,162,Germany,,,,
2013,Mercedes-Benz ,Mercedes-Benz GLK,64,Germany,,,,
2013,Opel ,Opel Insignia,578,Germany,578,,,
2013,Skoda ,Skoda Octavia,1643,Germany,1983,,,
2013,Skoda ,Skoda Rapid,63,Germany,,,,
2013,Skoda ,Skoda Superb,212,Germany,,,,
2013,Skoda ,Skoda Yeti,65,Germany,,,,
2013,Volkswagen ,Volkswagen Golf,7336,Germany,14675,,,
2013,Volkswagen ,Volkswagen Passat,3045,Germany,,,,
2013,Volkswagen ,Volkswagen Polo,578,Germany,,,,
2013,Volkswagen ,Volkswagen Tiguan,3274,Germany,,,,
2013,Volkswagen ,Volkswagen up!,442,Germany,,,,
2014,Audi ,Audi A3,2151,Germany,7108,28983,,
2014,BMW ,BMW 3-serie,2235,Germany,,,,
2014,BMW ,BMW i3,2336,Germany,,,,
2014,BMW ,BMW X3,386,Germany,,,,
2014,Skoda ,Skoda Octavia,3378,Germany,3378,,,
2014,Volkswagen ,Volkswagen Golf,9679,Germany,18497,,,
2014,Volkswagen ,Volkswagen Passat,2407,Germany,,,,
2014,Volkswagen ,Volkswagen Tiguan,3231,Germany,,,,
2014,Volkswagen ,Volkswagen up!,3180,Germany,,,,
2015,Audi ,Audi A3,2419,Germany,4296,33003,,
2015,BMW ,BMW 2-serie,48,Germany,,,,
2015,BMW ,BMW 3-serie,254,Germany,,,,
2015,BMW ,BMW i3,1109,Germany,,,,
2015,BMW ,BMW X1,98,Germany,,,,
2015,BMW ,BMW X3,309,Germany,,,,
2015,BMW ,BMW X5,59,Germany,,,,
2015,Mercedes-Benz ,Mercedes-Benz B-klasse,1333,Germany,3559,,,
2015,Mercedes-Benz ,Mercedes-Benz C-klasse,2178,Germany,,,,
2015,Mercedes-Benz ,Mercedes-Benz E-klasse,48,Germany,,,,
2015,Opel ,Opel Astra,61,Germany,61,,,
2015,Skoda ,Skoda Octavia,3289,Germany,3404,,,
2015,Skoda ,Skoda Superb,115,Germany,,,,
2015,Volkswagen ,Volkswagen Golf,16338,Germany,21683,,,
2015,Volkswagen ,Volkswagen Passat,2754,Germany,,,,
2015,Volkswagen ,Volkswagen Polo,279,Germany,,,,
2015,Volkswagen ,Volkswagen Tiguan,118,Germany,,,,
2015,Volkswagen ,Volkswagen up!,2194,Germany,,,,
2016,Audi ,Audi A3,3233,Germany,10940,43601,,
2016,Audi ,Audi A4,1128,Germany,,,,
2016,BMW ,BMW 2-serie,1433,Germany,,,,
2016,BMW ,BMW 3-serie,823,Germany,,,,
2016,BMW ,BMW i3,2094,Germany,,,,
2016,BMW ,BMW X1,1018,Germany,,,,
2016,BMW ,BMW X3,441,Germany,,,,
2016,BMW ,BMW X5,770,Germany,,,,
2016,Mercedes-Benz ,Mercedes-Benz B-klasse,3111,Germany,5693,,,
2016,Mercedes-Benz ,Mercedes-Benz C-klasse,2159,Germany,,,,
2016,Mercedes-Benz ,Mercedes-Benz E-klasse,423,Germany,,,,
2016,Opel ,Opel Astra,589,Germany,733,,,
2016,Opel ,Opel Mokka,144,Germany,,,,
2016,Skoda ,Skoda Fabia,133,Germany,5832,,,
2016,Skoda ,Skoda Octavia,3513,Germany,,,,
2016,Skoda ,Skoda Superb,2186,Germany,,,,
2016,Volkswagen ,Volkswagen Golf,13418,Germany,20403,,,
2016,Volkswagen ,Volkswagen Passat,3236,Germany,,,,
2016,Volkswagen ,Volkswagen Polo,1144,Germany,,,,
2016,Volkswagen ,Volkswagen Tiguan,1305,Germany,,,,
2016,Volkswagen ,Volkswagen Touran,135,Germany,,,,
2016,Volkswagen ,Volkswagen up!,1165,Germany,,,,
2010,Mitsubishi ,Mitsubishi Outlander,2033,Japan,4312,17074,,
2010,Nissan ,Nissan Qashqai,2279,Japan,,,,
2010,Suzuki ,Suzuki SX4,164,Japan,12762,,,
2010,Toyota ,Toyota Auris,3190,Japan,,,,
2010,Toyota ,Toyota Avensis,3921,Japan,,,,
2010,Toyota ,Toyota Prius,2403,Japan,,,,
2010,Toyota ,Toyota Rav4,782,Japan,,,,
2010,Toyota ,Toyota Urban Cruiser,2302,Japan,,,,
2011,Mitsubishi ,Mitsubishi ASX,2002,Japan,5318,16656,,
2011,Nissan ,Nissan Leaf,13,Japan,,,,
2011,Nissan ,Nissan Qashqai,3303,Japan,,,,
2011,Suzuki ,Suzuki Swift,1099,Japan,11338,,,
2011,Suzuki ,Suzuki SX4,171,Japan,,,,
2011,Toyota ,Toyota Auris,3409,Japan,,,,
2011,Toyota ,Toyota Avensis,3764,Japan,,,,
2011,Toyota ,Toyota Prius,213,Japan,,,,
2011,Toyota ,Toyota Rav4,1094,Japan,,,,
2011,Toyota ,Toyota Yaris,1588,Japan,,,,
2012,Honda ,Honda CR-V,238,Japan,238,20390,,
2012,Mazda ,Mazda CX-5,604,Japan,604,,,
2012,Mitsubishi ,Mitsubishi ASX,2334,Japan,7857,,,
2012,Mitsubishi ,Mitsubishi Outlander,192,Japan,,,,
2012,Nissan ,Nissan Leaf,2100,Japan,,,,
2012,Nissan ,Nissan Qashqai,3231,Japan,,,,
2012,Suzuki ,Suzuki Swift,158,Japan,11691,,,
2012,Toyota ,Toyota Auris,2555,Japan,,,,
2012,Toyota ,Toyota Avensis,3221,Japan,,,,
2012,Toyota ,Toyota Prius,1244,Japan,,,,
2012,Toyota ,Toyota Rav4,1679,Japan,,,,
2012,Toyota ,Toyota Yaris,2834,Japan,,,,
2013,Honda ,Honda CR-V,2204,Japan,2204,32585,,
2013,Mazda ,Mazda CX-5,4090,Japan,4090,,,
2013,Mitsubishi ,Mitsubishi ASX,155,Japan,9861,,,
2013,Mitsubishi ,Mitsubishi Outlander,2392,Japan,,,,
2013,Nissan ,Nissan Leaf,4037,Japan,,,,
2013,Nissan ,Nissan Qashqai,3277,Japan,,,,
2013,Suzuki ,Suzuki SX4,342,Japan,342,,,
2013,Toyota ,Toyota Auris,4649,Japan,16088,,,
2013,Toyota ,Toyota Avensis,3203,Japan,,,,
2013,Toyota ,Toyota Prius,2048,Japan,,,,
2013,Toyota ,Toyota RAV4,2785,Japan,,,,
2013,Toyota ,Toyota Yaris,3403,Japan,,,,
2014,Mazda ,Mazda CX-5,3606,Japan,13895,29727,,
2014,Mitsubishi ,Mitsubishi Outlander,1774,Japan,,,,
2014,Nissan ,Nissan Leaf,5223,Japan,,,,
2014,Nissan ,Nissan Qashqai,3292,Japan,,,,
2014,Suzuki ,Suzuki SX4,2814,Japan,2814,,,
2014,Toyota ,Toyota Auris,5385,Japan,13018,,,
2014,Toyota ,Toyota Rav4,3282,Japan,,,,
2014,Toyota ,Toyota Yaris,4351,Japan,,,,
2015,Mazda ,Mazda CX-5,2352,Japan,2352,24516,,
2015,Mitsubishi ,Mitsubishi Outlander,2326,Japan,8454,,,
2015,Nissan ,Nissan Leaf,3009,Japan,,,,
2015,Nissan ,Nissan Qashqai,3119,Japan,,,,
2015,Suzuki ,Suzuki SX4,770,Japan,770,,,
2015,Toyota ,Toyota Auris,4890,Japan,12940,,,
2015,Toyota ,Toyota Avensis,118,Japan,,,,
2015,Toyota ,Toyota Prius,169,Japan,,,,
2015,Toyota ,Toyota Rav4,4535,Japan,,,,
2015,Toyota ,Toyota Yaris,3228,Japan,,,,
2016,Mazda ,Mazda CX-3,2250,Japan,4273,28802,,
2016,Mazda ,Mazda CX-5,2023,Japan,,,,
2016,Mitsubishi ,Mitsubishi Outlander,4212,Japan,10008,,,
2016,Nissan ,Nissan Leaf,3084,Japan,,,,
2016,Nissan ,Nissan X-Trail,2712,Japan,,,,
2016,Suzuki ,Suzuki Vitara,1419,Japan,1419,,,
2016,Toyota ,Toyota Auris,4419,Japan,13102,,,
2016,Toyota ,Toyota Avensis,1083,Japan,,,,
2016,Toyota ,Toyota Prius,955,Japan,,,,
2016,Toyota ,Toyota Rav4,3328,Japan,,,,
2016,Toyota ,Toyota Yaris,3317,Japan,,,,
2012,Hyundai ,Hyundai i30,252,Korea,1352,1352,,
2012,Kia ,Kia cee'd,146,Korea,,,,
2012,Kia ,Kia Sportage,954,Korea,,,,
2013,Hyundai ,Hyundai i20,233,Korea,1137,1137,,
2013,Hyundai ,Hyundai ix35,70,Korea,,,,
2013,Kia ,Kia cee'd,59,Korea,,,,
2013,Kia ,Kia Sportage,775,Korea,,,,
2015,Hyundai ,Hyundai i20,417,Korea,688,688,,
2015,Kia ,Kia Sportage,271,Korea,,,,
2016,Hyundai ,Hyundai Tucson,295,Korea,998,998,,
2016,Kia ,Kia Soul,262,Korea,,,,
2016,Kia ,Kia Sportage,441,Korea,,,,
2010,Ford ,Ford Fiesta,3308,U.S.A,7500,7500,,
2010,Ford ,Ford Focus,1766,U.S.A,,,,
2010,Ford ,Ford Mondeo,2426,U.S.A,,,,
2011,Ford ,Ford Focus,3021,U.S.A,5866,5866,,
2011,Ford ,Ford Mondeo,2845,U.S.A,,,,
2012,Ford ,Ford Focus,2551,U.S.A,4987,6469,,
2012,Ford ,Ford Kuga,114,U.S.A,,,,
2012,Ford ,Ford Mondeo,2182,U.S.A,,,,
2012,Ford ,Ford S-Max,140,U.S.A,,,,
2012,Subaru ,Subaru XV,1482,U.S.A,1482,,,
2013,Ford ,Ford Fiesta,251,U.S.A,4488,5838,,
2013,Ford ,Ford Focus,3017,U.S.A,,,,
2013,Ford ,Ford Kuga,571,U.S.A,,,,
2013,Ford ,Ford Mondeo,548,U.S.A,,,,
2013,Ford ,Ford S-Max,101,U.S.A,,,,
2013,Subaru ,Subaru Forester,134,U.S.A,134,,,
2013,Tesla ,Tesla Model S,1216,U.S.A,1216,,,
2014,Ford ,Ford Focus,2066,U.S.A,2218,5949,,
2014,Ford ,Ford Kuga,152,U.S.A,,,,
2014,Tesla ,Tesla Model S,3731,U.S.A,3731,,,
2015,Ford ,Ford Fiesta,205,U.S.A,5940,11261,,
2015,Ford ,Ford Focus,3143,U.S.A,,,,
2015,Ford ,Ford Kuga,347,U.S.A,,,,
2015,Ford ,Ford Mondeo,2124,U.S.A,,,,
2015,Ford ,Ford S-Max,121,U.S.A,,,,
2015,Tesla ,Tesla Model S,5321,U.S.A,5321,,,
2016,Ford ,Ford Fiesta,501,U.S.A,3602,4907,,
2016,Ford ,Ford Focus,541,U.S.A,,,,
2016,Ford ,Ford Kuga,396,U.S.A,,,,
2016,Ford ,Ford Mondeo,1211,U.S.A,,,,
2016,Ford ,Ford S-Max,953,U.S.A,,,,
2016,Tesla ,Tesla Model S,1305,U.S.A,1305,,,
,,,,,,,,