name,total,code,year
China,7178,CHN,2010
Germany,23964,DEU,2010
Japan,17074,JPN,2010
France,3647,FRA,2010
United States,7500,USA,2010
Korea,0,KOR,2010
China,3476,CHN,2011
Germany,23878,DEU,2011
Japan,16656,JPN,2011
France,2558,FRA,2011
United States,5866,USA,2011
Korea,0,KOR,2011
China,10885,CHN,2012
Germany,23618,DEU,2012
Japan,20390,JPN,2012
France,1519,FRA,2012
United States,6469,USA,2012
Korea,1352,KOR,2012
China,8860,CHN,2013
Germany,26233,DEU,2013
Japan,32585,JPN,2013
France,1566,FRA,2013
United States,5838,USA,2013
Korea,1137,KOR,2013
China,6284,CHN,2014
Germany,28983,DEU,2014
Japan,29727,JPN,2014
France,943,FRA,2014
United States,5949,USA,2014
Korea,688,KOR,2014
China,5552,CHN,2015
Germany,33003,DEU,2015
Japan,24516,JPN,2015
France,2496,FRA,2015
United States,11261,USA,2015
Korea,776,KOR,2015
China,3054,CHN,2016
Germany,43601,DEU,2016
Japan,28802,JPN,2016
France,3033,FRA,2016
United States,4907,USA,2016
Korea,998,KOR,2016