IncidentDate,State,CityorCounty,Address,Killed,Injured
2015-07,Virginia,Hopewell,"500 block of N. 7th Ave",0,4
2015-07,Pennsylvania,Erie,"200 block of W 29th St",2,5
2015-07,Louisiana,Lafayette,"3141 Johnson Street",3,9
2015-07,Missouri,"Saint Louis","Fair Ave and Ashland Ave",0,6
2015-07,Georgia,Suwanee,"5500 block of Old Atlanta Road",5,0
2015-07,Florida,"Miami Gardens","Northwest 25th Avenue and Miami Gardens Drive",1,3
2015-07,"New York",Bronx,"E. 153rd St. and the Grand Concourse",0,6
2015-07,Virginia,Suffolk,"100 block of North Capitol Street",0,4
2015-07,Kentucky,Louisville,"2928 W Kentucky St",0,6
2015-07,"North Carolina","Rocky Mount","Interstate 64 and Raliegh Street",0,4
2015-07,California,"San Diego","200 block of South Bancroft Street",0,4
2015-07,California,"Santa Paula","Ojai-Santa Paula Street",0,5
2015-07,Oregon,Salem,"1550 Weston Ct NE",1,4
2015-07,Louisiana,"Baton Rouge","300 block of Brice Street",2,2
2015-07,Illinois,Chicago,"4400 block of W. Maypole",0,5
2015-07,Ohio,"Cincinnati (Westwood)","3100 block of Sunshine Avenue",0,4
2015-07,Tennessee,Chattanooga,"4051 Amnicola Highway",6,2
2015-07,Texas,Dallas,"Singleton and Hampton",0,5
2015-07,Georgia,Atlanta,"500 block of Center Hill Avenue",0,5
2015-07,Maryland,Baltimore,"3500 block of West Garrison Boulevard",1,3
2015-07,Ohio,Cleveland,"700 block of Thornhill",0,7
2015-07,Michigan,Detroit,"9200 block of Memorial",0,4
2015-07,"South Carolina","Holly Hill","7050 Old State Road",4,1
2015-07,Missouri,"Saint Louis","1100 block of Riverview",0,4
2015-07,California,Norwalk,"11959 162nd Street",0,4
2015-07,California,Stockton,"400 block of McCloud Avenue",1,4
2015-07,Illinois,"River Forest","116 Lathrop Avenue",2,3
2015-07,"New Jersey","Jersey City","Sip and Van Wagenen avenues",0,4
2015-07,Ohio,Cleveland,"East 162nd Street and Miles Avenue",1,3
2015-07,Maryland,Baltimore,"900 block of West Fayette Street",3,1
2015-07,Louisiana,Shreveport,"3500 block of Hearne Avenue",0,8
2015-07,Indiana,"Fort Wayne","1400 block of McCulloch Street",0,9
2015-07,"New Jersey","East Orange","200 block of S. Clinton St",1,3
2015-07,"District of Columbia",Washington,"2600 Douglas Place SE",1,3
2015-07,Kentucky,Louisville,"2500 block of West Broadway",0,4
2015-07,Massachusetts,Pittsfield,"Dewey Avenue",1,4
2015-07,"New York",Syracuse,"Bellevue and Rich Street",0,4
2015-07,Texas,"San Antonio","1100 block of West Avenue",0,4
2015-07,Indiana,Indianapolis,"500 block of Lynn St",1,3
2015-06,Florida,"Opa Locka","13450 NW 30th Ave",0,4
2015-06,Michigan,Detroit,"Gratiot and Loretto",0,5
2015-06,Illinois,Venice,"1430 Broadway",0,6
2015-06,Delaware,Harrington,"100 block of East St",0,6
2015-06,Massachusetts,Taunton,"Weir Street",1,3
2015-06,Michigan,Detroit,"Stringham Court",0,4
2015-06,"New York","New York (Manhattan)","2110 Madison Ave",0,4
2015-06,Pennsylvania,Philadelphia,"700 block of East Hilton Street",0,7
2015-06,Pennsylvania,"Pittsburgh (Wilkinsburg)","Rebecca and East Swissvale Avenue",0,4
2015-06,Kentucky,Lexington,"726 Georgetown St",1,4
2015-06,"North Carolina",Morven,"6066 Robinson Bridge Rd",0,4
2015-06,Michigan,Detroit,"Dexter and Webb",1,11
2015-06,Pennsylvania,Philadelphia,"4100 block of Ogden Street",0,11
2015-06,"Rhode Island",Woonsocket,"80 River Street",0,4
2015-06,"South Carolina",Charleston,"110 Calhoun Street",9,0
2015-06,Florida,"Miami Gardens","600 block of Northwest 177th Street",0,4
2015-06,"New York",Brooklyn,"673 Flatbush Avenue",0,4
2015-06,"New Jersey",Camden,"2800 block of Mitchell Street",1,3
2015-06,Oklahoma,Tulsa,"1800 block of North Kingston",0,4
2015-06,Missouri,"Saint Louis","1400 block of North Market Street",0,4
2015-06,Georgia,Fayetteville,"600 block of Highway 279",1,4
2015-06,Oklahoma,"Oklahoma City","500 block of SE 69th St",0,4
2015-06,Georgia,Milledgeville,"451 North Flynn Street",1,3
2015-06,"New York",Bronx,"2409 Creston Avenue",0,5
2015-06,Ohio,Columbus,"1623 E. Hudson Street",4,1
2015-06,Florida,Allapattah,"24th Avenue and 36th Street",0,4
2015-06,Connecticut,Bridgeport,"468 Trumbull Ave",1,8
2015-06,Texas,Houston,"3400 block of Burkett",1,3
2015-06,California,"Los Angeles","South Vermont Avenue and West 88th Street",1,3
2015-06,Missouri,"Saint Louis","North Market Street and North Spring Avenue",1,3
2015-06,Montana,"Deer Lodge","Boulder Creek Road",5,0
2015-06,"New York",Buffalo,"100 block of Warren Avenue",1,4
2015-06,Illinois,Chicago,"100 block of North Lorel Avenue",0,5
2015-06,Iowa,Davenport,"900 block of West 3rd St",0,5
2015-06,Louisiana,"New Orleans","2100 block of Governor Nicholls Street",1,3
2015-06,"New York",Wyandanch,"Davidson Street",3,1
2015-05,Ohio,Cleveland,"16209 block of Laverne Avenue",3,1
2015-05,Maryland,Springdale,"9222 Ardwick Ardmore Road",1,3
2015-05,Connecticut,"New Haven","849 Chapel Street",0,5
2015-05,Georgia,Conyers,"4669 Bell Road SE",3,2
2015-05,California,"San Diego","4200 block of Market Street",0,4
2015-05,Nebraska,Omaha,"84th and Q",0,4
2015-05,Illinois,Chicago,"6200 block of South Honore Street",0,5
2015-05,Pennsylvania,Chester,"2700 block of West 3rd Street",1,3
2015-05,Louisiana,"New Orleans","6700 block of Tara Lane",2,2
2015-05,Illinois,Decatur,"1816 N Water",1,4
2015-05,Massachusetts,Brockton,"1002 Main St",0,5
2015-05,Michigan,Flint,"W. 12th Street and Hammerberg Road.",0,7
2015-05,Alabama,Montgomery,"Smiley Court",1,3
2015-05,Missouri,"Saint Louis","2700 block of Dayton",0,4
2015-05,California,Fresno,"2400 block of South 9th Street",2,2
2015-05,Maryland,Baltimore,"800 block of Linwood Avenue",1,3
2015-05,Missouri,Kinloch,"8000 block of School Way",0,4
2015-05,Florida,Miami,"Northwest 75th Street and Northwest 16th Avenue",1,4
2015-05,Texas,Waco,"4671 S Jack Kultgen Fwy",9,18
2015-05,Wisconsin,Milwaukee,"28th Street and Auer Avenue",0,5
2015-05,"New York",Rochester,"188 Lewis Street",0,4
2015-05,Maryland,Baltimore,"1700 block of North Broadway",0,5
2015-05,Maryland,"Capitol Heights","Pard Road",1,4
2015-05,Arizona,Tucson,"800 block of West Calle Medina Road",5,0
2015-05,Ohio,Cleveland,"3600 block of Bosworth Rd",1,4
2015-05,"New Jersey","Jersey City","Bostwick Avenue",0,4
2015-05,"New Jersey",Newark,"19th Avenue and South 16th Street",1,3
2015-05,Ohio,Cincinnati,"2300 block of Baltimore Avenue",0,4
2015-05,Michigan,Detroit,"16000 block of Cathedral Street",0,4
2015-05,"New York",Buffalo,"100 block of Roosevelt Avenue",1,3
2015-05,Indiana,"South Bend","1600 block of South William Street",0,4
2015-05,Texas,Houston,"San Jacinto at Elgin",0,6
2015-05,"New York",Bronx,"University Avenue",0,4
2015-05,Ohio,Dayton,"2801 Germantown Street",1,6
2015-05,Wisconsin,Menasha,"Friendship Trail",4,1
2015-05,Wisconsin,Milwaukee,"3700 block of 37th Street",2,3
2015-04,"New York",Brooklyn,"1365 Flatbush Ave",2,4
2015-04,Arizona,"Gila Bend","State Route 85",2,2
2015-04,"New Jersey",Trenton,"Wood Street",0,4
2015-04,"New York",Gates,"24 Hinchey Rd",1,6
2015-04,Texas,Killeen,"420 Gilmer St",2,3
2015-04,Virginia,Richmond,"200 block of West Hill Street",0,4
2015-04,Alabama,Montgomery,"1800 block of Gibbs Court",0,5
2015-04,Pennsylvania,Williamsport,"321 Pine St",0,5
2015-04,"North Carolina",Lumberton,"Martin Luther King Drive",1,3
2015-04,"North Carolina",Charlotte,"Bost Street",0,4
2015-04,"New Jersey",Paterson,"Rosa Parks Blvd and Godwin Ave",1,3
2015-04,Arizona,Phoenix,"4300 block of East Anderson Drive",5,0
2015-04,Georgia,Rome,"20 Copeland Street",1,3
2015-04,Pennsylvania,Pittsburgh,"Dinwiddie Street",1,3
2015-04,Kentucky,Louisville,"40th and Grand Street",1,4
2015-04,Indiana,Indianapolis,"5000 block of Wildflower Court",0,5
2015-04,Michigan,"Benton Harbor","1000 block of Blossom Lane",0,4
2015-04,Florida,"Daytona Beach","300 block of Henry Butts Drive",0,4
2015-04,Maryland,Baltimore,"1900 block of West Lanvale Street",0,5
2015-03,Florida,"Panama City Beach","5312 Thomas Drive",0,7
2015-03,Texas,Amarillo,"3100 block of Redwood",0,4
2015-03,Indiana,Indianapolis,"3100 block of North Harding Street",4,0
2015-03,Tennessee,Clarksville,"900 block of Carpenter Street",1,4
2015-03,"New Mexico",Albuquerque,"10140 Lomas NE",1,6
2015-03,Florida,Tampa,"1802 Seventh Ave",0,4
2015-03,Oklahoma,"Oklahoma City","1300 block of N Stiles Ave",0,4
2015-03,Texas,Lancaster,"1500 block of Reynolds Street",1,5
2015-03,"New Jersey",Newark,"200 block of Clinton Place",1,3
2015-03,Arizona,Mesa,"1504 West Main Street",1,5
2015-03,California,Stockton,"748 N Madison St",3,4
2015-03,California,Compton,"2700 block of West Alondra Boulevard",0,4
2015-03,Georgia,Atlanta,"2900 block of Delmar Lane",0,5
2015-03,California,Coachella,"84000 block of Bagdad Avenue",0,4
2015-03,Mississippi,Brookhaven,"1097 South First St.",2,3
2015-03,Georgia,Columbus,"3023 Victory Drive",0,5
2015-03,Illinois,Chicago,"200 block of West 105th",1,3
2015-03,"South Carolina",Seneca,"Wells Highway",1,3
2015-03,Missouri,"Saint Louis","3140 Olive St",0,4
2015-03,California,"San Bernardino","190 block of W Club Center Dr",3,4
2015-03,Florida,"Orange County","4900 block of Steyr Street",0,4
2015-03,Michigan,Detroit,"9855 Chalmers St",1,5
2015-02,Maryland,Baltimore,"4300 block of Welbourne Road",1,3
2015-02,Missouri,Tyrone,"18279 Highway H",8,1
2015-02,Texas,Houston,"5022 Mallow St",3,1
2015-02,Florida,"Daytona Beach","Sheridan Road",0,4
2015-02,Texas,Killeen,"1706 Godman St.",4,1
2015-02,Georgia,Clarkesville,"281 Lower Pond Court",3,2
2015-02,"South Carolina",Charleston,"4224 Dorchester Road",0,4
2015-02,California,Sacramento,"1417 R Street",0,4
2015-02,Arkansas,"Little Rock","7900 Scott Hamilton",1,3
2015-02,California,"Long Beach","200 block of W. 14th Street",0,5
2015-02,Florida,"New Port Richey","9552 Adler Street",3,1
2015-02,Tennessee,Friendship,"251 Dupree Rd",0,6
2015-02,Georgia,Douglasville,"3640 Willow Tree Circle",5,2
2015-02,Oklahoma,Tulsa,"1219 N. Sheridan Road",1,4
2015-02,Ohio,"Beachwood (Warrensville Heights)","Harvard Road",3,3
2015-02,"New York",Syracuse,"1217 West Fayette Street",0,6
2015-02,"New York","New York (Manhattan)","3345 Broadway",1,4
2015-01,Georgia,Lagrange,"100 block of Woodstream Trail",4,0
2015-01,Georgia,"Dekalb County","1600 block of Panola Road",1,3
2015-01,California,Stockton,"1500 block of E. 9th Street",1,3
2015-01,"New York","Arverne (Queens)","231-11 148th Avenue",4,1
2015-01,Nebraska,Omaha,"3402 Parker St",3,5
2015-01,Massachusetts,Boston,"954 Parker Street",0,6
2015-01,Tennessee,Clarksville,"321 Lansinger Lane",1,3
2015-01,Texas,"San Antonio","1000 block of Gibbs St.",2,5
2015-01,Illinois,Rockford,"700 block of Oakley Avenue",2,2
2015-01,Virginia,Portsmouth,"4100 block of Portsmouth Boulevard",0,5
2015-01,"North Carolina","Hope Mills","1900 block of Gumberry Road",2,5
2015-01,Florida,Lakeland,"7665 Chase Road",1,3
2015-01,California,"San Jose","3840 Monterey Hwy",0,5
2015-01,Kansas,Wichita,"4859 E Harry Street",2,2
2015-01,California,"San Francisco","Laguna St and Page St",4,0
2015-01,Massachusetts,Boston,"104 Harrishof Street",1,3
2015-01,Tennessee,Chattanooga,"773 West Main Street",1,3
2015-01,Florida,Miami,"1300 block of NW 62nd Street",1,3
2015-01,Virginia,Roanoke,"3634 Shenandoah Ave NW",2,4
2015-01,Texas,Dallas,"2000 block of Ben Hur St.",3,1
2015-01,Georgia,Savannah,"500 block of W. 54th Street",1,4
2015-01,Tennessee,Memphis,"Interstate 240 and Poplar Avenue",0,5
2016-12,Georgia,"Lenox (El Dorado)","27 Briarwood Ct",2,2
2016-12,Texas,Houston,"3704 Fannin Street",1,3
2016-12,Ohio,Mansfield,"3230 Possum Run Rd",0,5
2016-12,Connecticut,Wallingford,"95 S Turnpike Rd",2,3
2016-12,Georgia,Columbus,"2914 10th Street",1,4
2016-12,Illinois,Chicago,"8600 block of S Maryland Ave",3,4
2016-12,Alabama,Ozark,"858 US-231",0,4
2016-12,"New York","Mount Vernon","4 North 3rd Avenue",1,5
2016-12,"North Carolina",Madison,"490 K Ford Rd",0,7
2016-12,"North Carolina",Wilson,"2241 Banks Lane East",4,0
2016-12,Alabama,Birmingham,"3813 Richard Arrington Boulevard North",1,3
2016-12,Illinois,Chicago,"4900 block of W Hubbard",0,4
2016-12,Illinois,"Chicago (Roseland)","100 block of W 105th St",5,0
2016-12,"North Carolina",Charlotte,"4115 N. Tryon Street",0,4
2016-12,Illinois,Chicago,"13th and South Kedzie",0,4
2016-12,Illinois,Chicago,"4300 block of South Rockwell",2,2
2016-12,California,Sacramento,"4800 block of Myrtle Avenue",1,3
2016-12,"New York",Brooklyn,"192 Knickerbocker Ave",0,4
2016-12,Florida,"Orlando (Pine Hills)","4305 N Pine Hills Rd",1,4
2016-12,Maryland,Baltimore,"3916 South Hanover Street",0,5
2016-12,"North Carolina","Rocky Mount","1200 block of East Highland Ave",0,4
2016-12,Texas,Channelview,"15300 block of Market",4,0
2016-12,California,Fresno,"842 Fresno Street",0,4
2016-12,"New Mexico",Albuquerque,"1532 Stagecoach Lane",4,1
2016-12,California,"Los Angeles","91st Street and Western Avenue",0,6
2016-12,"New Jersey",Bloomfield,"3 1st Ave",0,6
2016-12,California,"Clearlake Oaks",N/A,1,3
2016-11,Maryland,Baltimore,"2901 Garrison Blvd",2,4
2016-11,Texas,"Mission (Palmview)","1840 West Palma Vista Drive",1,3
2016-11,California,Wilmington,"1067 McDonald Avenue",0,4
2016-11,California,"San Pedro","300 block of West 2nd Street",0,4
2016-11,Louisiana,"New Orleans","100 block of Bourbon Street",1,9
2016-11,Missouri,"Kansas City","Gregory and Prospect",0,7
2016-11,Illinois,Chicago,"8800 block of S Exchange Ave",1,5
2016-11,Louisiana,"New Orleans","Magnolia St and Felicity St",0,4
2016-11,Kentucky,Louisville,"4501 W Broadway",2,4
2016-11,"New York",Albany,"77 Central Ave",1,3
2016-11,Mississippi,"Olive Branch","928 Cross Road",0,4
2016-11,Florida,Clewiston,"1068 Harlem Academy Ave",1,4
2016-11,Illinois,Chicago,"5000 block of W Wabansia",0,4
2016-11,Tennessee,Dyersburg,"160 Longfellow",1,7
2016-11,Florida,Jacksonville,"5105 Cleveland Rd",3,2
2016-11,Texas,"San Antonio","8000 Midcrown",0,4
2016-11,California,"San Diego","3800 block of Marlborough Avenue",3,2
2016-11,Florida,Orlando,"Conley Street and South Ivey Lane",0,4
2016-11,California,Sacramento,"8600 block of Ardith Drive",1,5
2016-11,Missouri,"Kansas City","21st St and Cleveland Ave",1,3
2016-11,Connecticut,Bridgeport,"2500 Park Avenue",0,5
2016-11,Texas,Houston,"7705 Channelside Street",0,4
2016-11,Texas,Houston,"6610 S Sam Houston Pkwy W",1,3
2016-11,Washington,Seattle,"1524 3rd Ave",0,5
2016-11,Illinois,Chicago,"3400 block of W Monroe",1,3
2016-11,Tennessee,Memphis,"1800 block of East Brooks Road",0,4
2016-11,Florida,"Fort Lauderdale (Lauderhill)","3135 West Broward Boulevard",1,3
2016-11,Texas,"San Antonio","10726 Perrin Beitel Rd",0,4
2016-11,"South Carolina","Myrtle Beach","803 Main St",0,5
2016-11,California,Oakland,"420 14th Street",0,8
2016-11,Illinois,Chicago,"4800 block of North Winthrop",0,5
2016-11,Pennsylvania,Philadelphia,"5451 Springfield Ave",0,4
2016-11,Illinois,Chicago,"8000 block of S Shore Dr",2,2
2016-11,"New Jersey",Orange,"234 Cleveland Street",2,2
2016-11,Arkansas,"Little Rock","2111 Bragg Street",1,4
2016-11,Tennessee,Memphis,"5200 block of Zodiac Rd",1,5
2016-10,Louisiana,Shreveport,"700 Block of W 68th St",0,4
2016-10,Ohio,Toledo,"742 Junction Ave",0,4
2016-10,"New York","New York (Manhattan)","135 Ridge Street",0,4
2016-10,"New York",Newburgh,"119 First Street",2,5
2016-10,Maryland,"Capitol Heights","6860 Walker Mill Road",3,3
2016-10,Texas,"San Antonio","2900 block of Aspen Meadow",0,5
2016-10,Ohio,Dayton,"2010 Cornell Ridge Dr",1,3
2016-10,California,"Los Angeles","1600 block of Century Boulevard",0,5
2016-10,California,Riverside,"3500 block of Madison Street",0,4
2016-10,Mississippi,Jackson,"200 block of Lorenz Blvd",0,6
2016-10,Florida,"Miami Gardens","Northwest 173rd Terrace and 27th Avenue",0,4
2016-10,Georgia,Jackson,"600 block of Moccasin Gap Road",4,0
2016-10,Ohio,Dayton,"3300 block of Riverside Dr",1,3
2016-10,Virginia,Roanoke,"830 Campbell Avenue Southeast",2,3
2016-10,Oklahoma,Wellston,"Highway 66 and N 3310 Rd",1,5
2016-10,California,Oakland,"77th and Bancroft Avenues",0,7
2016-10,California,"San Francisco","325 La Grande Ave",0,4
2016-10,Illinois,"Chicago (Englewood)","6700 block of South Winchester",1,4
2016-10,Alabama,Mobile,"1800 block of St Stephens Road",0,5
2016-10,Illinois,Rockford,"7801 East State St",1,5
2016-10,California,"Los Angeles","2918 Rimpau Blvd",4,11
2016-10,Illinois,Chicago,"3300 block of W Maypole Ave",1,6
2016-10,Illinois,Chicago,"2700 block of West Lexington",0,4
2016-10,Michigan,"Grand Rapids","1850 28th Street SE",1,8
2016-10,California,Sacramento,"1696 Arden Way",1,3
2016-10,"New York",Brooklyn,"7301 3rd Ave",0,4
2016-10,Louisiana,"New Orleans","3727 Ulloa Street",3,2
2016-10,Minnesota,Minneapolis,"Fourth St and Hennepin Ave",0,4
2016-10,Texas,"San Antonio","2600 South Flores Street",1,4
2016-10,Illinois,"Pembroke Township","17250E Road",4,0
2016-10,California,Fresno,"3200 block of East Clay Avenue",0,4
2016-09,California,"San Francisco","400 block of Ellis St",1,3
2016-09,"North Carolina","Winston Salem (Winston-salem)","100 block of 5 Royales Dr",0,4
2016-09,Texas,Humble,"21219 Grand Linden Ct",0,4
2016-09,Texas,Houston,"5450 Weslayan St",1,6
2016-09,Illinois,Champaign,"300 block of E. Green St",1,3
2016-09,Maryland,Baltimore,"Greenmount Ave and Preston St",0,8
2016-09,Washington,Burlington,"201 Cascade Mall Dr",5,0
2016-09,Pennsylvania,Philadelphia,"3001 Castor Avenue",0,4
2016-09,Pennsylvania,Pittsburgh,"1700 block of Brighton Pl",0,4
2016-09,Virginia,Lynchburg,"421 Rivermont Ave",1,3
2016-09,Florida,Miami,"20582 SW 119th Ave",0,6
2016-09,Florida,Orlando,"3918 Columbia St",1,6
2016-09,Indiana,Indianapolis,"2016 West 76th Street",2,2
2016-09,"District of Columbia",Washington,"2600 block of Birney Place SE",2,7
2016-09,California,"Los Angeles (Hollywood)","555 N Heliotrope Dr",2,2
2016-09,Pennsylvania,Philadelphia,"5100 block of Sansom St",2,5
2016-09,Texas,Humble,"16000 block of Saybrook",1,3
2016-09,Indiana,"Fort Wayne","1723 E Wayne St",3,2
2016-09,Indiana,"Fort Wayne","3006 Holton Avenue",3,1
2016-09,Louisiana,"New Orleans","2349 S Claiborne Ave",1,5
2016-09,Missouri,"Kansas City","500 block of Westport Rd",0,6
2016-09,Michigan,Saginaw,"2207 Pierce Road",0,5
2016-09,"North Carolina","New Bern","1100 block of Highway 70",0,5
2016-09,"New Jersey","Jersey City","87 Van Wagenen Ave",1,3
2016-09,Florida,Miami,"3451 Northwest 36 Street",1,3
2016-09,Texas,"Del Valle","8330 Linden Rd",4,0
2016-09,Arkansas,"Hot Springs National Park (Hot Springs)","300 block of Lacey St",1,4
2016-09,Illinois,Chicago,"2700 block of W Lexington Ave",2,3
2016-09,Pennsylvania,Reading,"600 block of Moss Street",0,4
2016-09,Virginia,Roanoke,"1020 Orange Ave NE",1,10
2016-09,"North Carolina",Wilmington,"600 block of North 30th St",1,3
2016-09,Illinois,Chicago,"100 block of North Seeley Avenue",0,4
2016-08,Georgia,Atlanta,"400 Merritts Avenue NE",0,4
2016-08,Illinois,"Chicago (Englewood)","6800 block of South Ashland",0,4
2016-08,"New Jersey","Egg Harbor City","907 White Horse Pike",1,5
2016-08,Texas,Lubbock,"2200 block of 17th St",0,6
2016-08,"New York",Bronx,"514 E 156th St",0,4
2016-08,Missouri,"Saint Louis","S Grand Blvd and Montana St",2,2
2016-08,Alabama,Dadeville,"512 E Columbus St",0,5
2016-08,Alabama,"Bessemer (Brighton)","3810 7th Ave",1,6
2016-08,Florida,Miami,"1900 block of NW 83rd Terr",2,4
2016-08,"New Jersey",Bridgeton,"Marion Street",0,5
2016-08,Massachusetts,Boston,"Westview and Stratton Street",0,4
2016-08,Connecticut,Bridgeport,"19 Plymouth St",0,13
2016-08,Connecticut,Hamden,"903 Dixwell Ave",0,4
2016-08,Washington,Tacoma,"900 block of Pacific Avenue",0,5
2016-08,Alabama,Citronelle,"Jim Platt Road",5,0
2016-08,Connecticut,Waterbury,"402 E Main Street",0,4
2016-08,California,Oakland,"Mandela Parkway",0,4
2016-08,Virginia,Norfolk,"1600 block of Selden Avenue",0,4
