IncidentDate,State,CityorCounty,Address,Killed,Injured
2016-08,Minnesota,Minneapolis,"1717 Plymouth Ave N",0,5
2016-08,California,"Los Angeles","6300 block of 11th Avenue",0,4
2016-08,Wisconsin,Milwaukee,"4001 West Fond Du Lac Ave",2,2
2016-08,"New York","Richmond Hill","Jamaica Ave and 105th St",0,4
2016-08,Missouri,Joplin,"1800 Connecticut Ave",0,4
2016-08,Florida,Jacksonville,"100 block of West 38th Street",1,3
2016-08,Texas,Dallas,"10921 Estate Ln",1,3
2016-08,Pennsylvania,Philadelphia,"500 block of E Ashmead St",0,4
2016-08,Illinois,Evanston,"Foster Street and Jackson Avenue",0,4
2016-08,California,Sacramento,"4000 Green Tree Drive",1,3
2016-08,Florida,Jacksonville,"1214 Labelle St",0,7
2016-08,"New Mexico",Albuquerque,"341 General Marshall Street NE",2,2
2016-08,California,"Los Angeles","5925 South Figueroa Street",1,3
2016-08,Mississippi,Vicksburg,"4460 Clay St",1,3
2016-08,Colorado,Arvada,"5400 block of Sheridan Boulevard",2,2
2016-08,Illinois,Chicago,"100 block of South Springfield",0,4
2016-08,Pennsylvania,"Reading (Sinking Spring)","51 Winding Brook Drive",5,0
2016-08,Michigan,Pontiac,"70 block of Thorpe Street",1,3
2016-08,California,Perris,"21600 block of Rider St",2,2
2016-08,Tennessee,Memphis,"Ayers Street and Griffith Avenue",0,4
2016-08,Georgia,Decatur,"4110 Glenwood Road",1,3
2016-08,Florida,"Hollywood (West Park)","5700 block of Hallandale Beach Blvd",0,4
2016-08,Indiana,Evansville,"South Bedford Avenue",0,4
2016-07,Florida,Miami,"Southwest 203rd Terrace and 115th Avenue",3,1
2016-07,Texas,Austin,"208 E 6th St",1,4
2016-07,Missouri,"Saint Louis","5000 block of Kensington Ave",0,5
2016-07,Washington,Mukilteo,"10009 Chennault Beach",3,1
2016-07,Georgia,"Townsend (Eulonia)","14699 Highway 17",0,5
2016-07,Georgia,Athens,"Trail Creek St",0,7
2016-07,"New York",Elmira,"303 College Ave",0,5
2016-07,Maryland,Baltimore,"Greenmount Avenue",0,4
2016-07,Illinois,Chicago,"800 block of West 50th Place",2,2
2016-07,Florida,"Fort Myers","3580 Evans Ave",2,19
2016-07,Ohio,Hamilton,"1555 Main St",1,7
2016-07,"South Carolina","North Charleston","3630 Ashley Phosphate Road",0,4
2016-07,Ohio,Cincinnati,"3400 block of Beekman St",2,2
2016-07,"New York",Brooklyn,"Fountain Avenue",0,4
2016-07,Texas,Bastrop,"202 Childers Drive",4,1
2016-07,Illinois,Kankakee,"300 block of North Wildwood Avenue",0,5
2016-07,Illinois,Chicago,"4400 block of South Leamington",0,5
2016-07,California,Fresno,"Hedges at Peach and Olive",0,4
2016-07,Arkansas,"West Memphis","13th Street and Tyler Avenue",0,4
2016-07,Texas,Houston,"6610 Tidwell",1,3
2016-07,Michigan,Detroit,"Grand River and McGraw avenue",0,4
2016-07,Louisiana,"Baton Rouge","9611 Airline Hwy",4,3
2016-07,Texas,Dallas,"6300 block of Benavides Drive",0,5
2016-07,Ohio,Cleveland,"5000 block of Euclid Avenue",0,5
2016-07,California,"San Bernardino","1200 block of West 25th Street",0,4
2016-07,California,Bakersfield,"621 Stephens Drive",1,14
2016-07,Tennessee,Clarksville,"1348 College Street",0,6
2016-07,Washington,Woodland,"4006 NW 417th Street",3,1
2016-07,Texas,Crosby,"400 block of Pecan Avenue",3,1
2016-07,California,Oakland,"1600 block of 7th Street",0,4
2016-07,Ohio,Akron,"900 block of Moeller Avenue",1,3
2016-07,Georgia,"Warner Robins","105 Magnolia Avenue",0,5
2016-07,Missouri,"Saint Louis","3000 block of Miami St",2,2
2016-07,Maryland,Baltimore,"1800 block of W. North Avenue",0,5
2016-07,Michigan,Jackson,"500 block of Summit Avenue",0,4
2016-07,"District of Columbia",Washington,"5100 block of Call Pl. SE",0,4
2016-07,Michigan,"Saint Joseph","811 Port St",3,2
2016-07,Louisiana,"Baton Rouge","2136 North Lobdell Avenue",0,4
2016-07,Texas,Dallas,"800 Main St",5,9
2016-07,Tennessee,Bristol,"536 Volunteer Pkwy",1,4
2016-07,California,"Los Angeles","56th Street and Naomi Avenue",0,4
2016-07,"New York",Brooklyn,"419 Chauncey St",0,7
2016-07,Texas,Houston,"1312 Robin",3,2
2016-07,Pennsylvania,Pittsburgh,"Seventh  Ave and Liberty Ave",0,4
2016-07,Illinois,"Chicago (Englewood)","5500 block of South Hermitage Avenue",0,4
2016-07,Ohio,Cleveland,"1400 block of W. 107 Street",0,4
2016-07,Arizona,Phoenix,"4000 block of West Southern Avenue",2,6
2016-07,Louisiana,Monroe,"401 Lea Joyner Memorial Expy",2,3
2016-07,Tennessee,Chattanooga,"2300 block of Daisy Street",0,4
2016-06,Illinois,Chicago,"9500 block of South Loomis Street",1,4
2016-06,Nevada,"Las Vegas","6100 block of West Lake Mead Boulevard",5,0
2016-06,California,"Los Angeles","13800 block of S Avalon Boulevard",1,3
2016-06,Illinois,Chicago,"1600 block of South Christiana",0,4
2016-06,Oregon,Woodburn,"13436 Killiam Loop NE",3,1
2016-06,"South Carolina",Bennettsville,"Highway 38 N",0,4
2016-06,"North Carolina",Charlotte,"2240 Camp Greene St",0,5
2016-06,Georgia,Atlanta,"1500 block of Moreland Avenue SE",1,4
2016-06,Texas,Houston,"6000 block of Elm Street",1,3
2016-06,Texas,"Corpus Christi","Baldwin Blvd  and Lamar",0,4
2016-06,Texas,"Fort Worth","2466 East Lancaster Avenue",2,5
2016-06,Virginia,Norfolk,"700 block of Craig Street",0,4
2016-06,Illinois,Chicago,"1400 block of W. 114th Place",0,4
2016-06,Kansas,"Kansas City","N. 3rd and Walker",0,4
2016-06,Connecticut,Hartford,"Brook and Winter Street",0,5
2016-06,Maryland,"District Heights","3100 block of Orleans Ave",3,2
2016-06,Washington,Olympia,"500 block of Dutterow Road SE",3,1
2016-06,Georgia,"Dekalb (county)","Lancashire Drive and Central Drive",1,4
2016-06,Illinois,Chicago,"3100 block of West Warren",0,4
2016-06,"New Jersey",Willingboro,"Mosshill Lane",0,4
2016-06,Kentucky,Louisville,"2802 Rodman Street",2,2
2016-06,Virginia,Roanoke,"2328 Melrose Avenue",0,4
2016-06,Virginia,Exmore,"Fredrick Douglas Road",1,3
2016-06,Georgia,Waycross,"2625 Arnold Ct",2,2
2016-06,Illinois,Chicago,"East 79th Street and South Escanaba Avenue",0,4
2016-06,Delaware,Wilmington,"South Van Buren and Elm streets",0,4
2016-06,California,Oakland,"1301 Franklin Street",1,3
2016-06,California,Fresno,"East El Monte Way and Recreation Avenue",0,4
2016-06,"New York",Brooklyn,"Avenue D and E. 57th",0,5
2016-06,Illinois,Chicago,"3200 block of West Congress",0,5
2016-06,Florida,Orlando,"1912 S Orange Avenue",50,53
2016-06,"New Mexico",Roswell,"2300 block of Davis Ave",5,0
2016-06,Minnesota,Webster,"4000 block of Elmore Avenue",0,4
2016-06,"North Carolina",Charlotte,"4000 block of Collegiate Avenue",1,3
2016-06,California,Stockton,"Alvarado Avenue",1,3
2016-06,California,"Panorama City","8500 block of Cedros Avenue",3,2
2016-06,Florida,"Fort Walton Beach","Landview Drive",0,4
2016-06,"District of Columbia",Washington,"1300 North Capitol St NW",0,4
2016-06,Massachusetts,Boston,"66 Washington St",1,3
2016-06,California,Visalia,"33 60 South Fairway Street",0,4
2016-06,Minnesota,Minneapolis,"8th and Humboldt Avenue N.",0,4
2016-06,Florida,"Cape Coral","2600 block of Skyline Boulevard S",3,3
2016-06,Arizona,Phoenix,"8152 N Black Canyon Hwy",2,4
2016-06,"New York",Brooklyn,"Mermaid Ave and 16th St.",0,4
2016-06,Colorado,Denver,"3600 block of Hudson Street",3,1
2016-05,Illinois,Chicago,"3300 block of West Huron Street",0,4
2016-05,Indiana,"Fort Wayne","6600 block of Pawawna Drive",0,4
2016-05,Maryland,Baltimore,"500 block of East 43rd Street",0,5
2016-05,California,Sacramento,"3900 block of 44th",0,5
2016-05,Nevada,"Las Vegas","200 block of N 3rd St",0,4
2016-05,"New Jersey",Trenton,"600 block of Martin Luther King Jr. Boulevard",0,6
2016-05,Indiana,Indianapolis,"300 block of South Meridian Street",0,4
2016-05,Texas,Houston,"13210 Memorial Dr",2,6
2016-05,"New Jersey",Newark,"102 Isabella Avenue",0,5
2016-05,Louisiana,"New Orleans","8639 Apple St",0,4
2016-05,California,Stockton,"Poplar and Sutter Streets",1,3
2016-05,Tennessee,Nashville,"100 block of Rains Avenue",0,4
2016-05,Georgia,Jackson,"Levi Barnes Road",1,3
2016-05,Indiana,Indianapolis,"34th Street and North Keystone Avenue",0,4
2016-05,"South Carolina",Ravenel,"5360 Savannah Highway",3,1
2016-05,Indiana,Evansville,"420 North Garvin Street",0,4
2016-05,Georgia,Moultrie,"Rossman Dairy Road",5,0
2016-05,Georgia,Atlanta,"Cordova and Peoples Street",0,5
2016-05,"West Virginia",Charleston,"2337 Washington St W",1,3
2016-05,Alabama,Birmingham,"1400 block of 21st St N",1,4
2016-05,Illinois,Chicago,"7100 block of South State Street",0,5
2016-05,Texas,Austin,"8600 block of North Lamar",1,3
2016-05,Michigan,Detroit,"12300 block of Gratiot",1,4
2016-05,Alabama,Montgomery,"1300 block of Clay Street",1,3
2016-05,Maryland,Bethesda,"7101 Democracy Blvd",3,3
2016-05,Louisiana,Shreveport,"300 block of North Thomas Drive",2,6
2016-05,Florida,Miami,"2108 NW 19th Terrace",1,3
2016-05,Minnesota,Minneapolis,"16th Avenue North and Newton Avenue North",1,7
2016-05,Tennessee,Murfreesboro,"1955 Old Castle Drive",0,5
2016-04,Missouri,"Saint Louis (Ferguson)","400 block of N Dade Ave",0,4
2016-04,California,Oakland,"3200 block of San Pablo Avenue",0,5
2016-04,Louisiana,"Baton Rouge","4300  Block of Kerrit Dr",2,2
2016-04,Mississippi,Kilmichael,"Pecan Drive",3,1
2016-04,Maryland,"District Heights (Forestville)","6500 block of Hil-Mar Drive",1,4
2016-04,Tennessee,Nashville,"400 Charlotte Avenue",0,4
2016-04,Florida,Miami,"1506 Northwest 70th Street",0,5
2016-04,Virginia,Halifax,"1055 L P Bailey Memorial Hwy",0,5
2016-04,Illinois,"Chicago (Englewood)","2000 block of West 68th Place",2,3
2016-04,Colorado,Denver,"1400 block of 14th Street",0,4
2016-04,Nevada,"Las Vegas","1650 South Hollywood Boulevard",1,3
2016-04,Alabama,Auburn,"1200 block of Lee Road 83",3,1
2016-04,"New York","New York (Manhattan)","West 141st Street and Edgecombe Avenue",0,4
2016-04,Kansas,Topeka,"3732 SW Topeka Blvd",1,4
2016-04,Ohio,Piketon,"4077 Union Hill Rd",8,0
2016-04,Georgia,Appling,"3162 Johnson Drive",6,0
2016-04,Maryland,Baltimore,"4800 block of Frankford Avenue",0,4
2016-04,Alabama,Blountsville,"81551 Us Highway 278",1,4
2016-04,Illinois,Chicago,"2700 block of West 53rd Street",1,3
2016-04,Illinois,Chicago,"1400 block of West 84th Street",1,4
2016-04,California,"Long Beach","1200 block of E. 17th Street",1,3
2016-04,Pennsylvania,Philadelphia,"600 block of Westmoreland Street",3,1
2016-04,"South Carolina",Pelzer,"200 block of Eastview Road",1,3
2016-04,Texas,Edinburg,"5021 W St Hwy 107",1,6
2016-04,Michigan,Detroit,"9500 block of Oakland",1,4
2016-04,Florida,Orlando,"1100 block of Conley Street",2,4
2016-04,Alabama,Enterprise,"Baxter Street",0,4
2016-04,Wisconsin,Milwaukee,"76th and Sheridan",1,3
2016-04,California,"Los Angeles","84th Street and Towne Avenue",0,4
2016-04,Tennessee,Memphis,"Mt Moriah Road and Ridgeway Road",0,4
2016-04,Alabama,Anniston,"West 15th Street and Crawford Avenue",0,4
2016-04,"New Mexico",Albuquerque,"2600 block of Mesa Drive SE",0,4
2016-04,Illinois,Chicago,"2200 block of East 70th Place",0,4
2016-03,Illinois,"Chicago (Englewood)","6800 block of South Throop",0,4
2016-03,Illinois,Chicago,"4500 block of West West End Avenue",0,4
2016-03,Colorado,Denver,"8501 E. Alameda Avenue",0,4
2016-03,Illinois,Chicago,"5700 block of West Washington Boulevard",0,4
2016-03,Florida,Plantation,"12050 NW 4th Court",1,4
2016-03,Alabama,Wetumpka,"South Shelby Street",2,2
2016-03,Georgia,Atlanta,"Donald Lee Hollowell Drive",0,5
2016-03,Florida,"Fort Myers","50 South Road",0,4
2016-03,Oregon,Portland,"16126 S.E. Stark St.",0,4
2016-03,California,Oakland,"Interstate 880",0,4
2016-03,Michigan,Detroit,"2600 block of Hazelwood",2,2
2016-03,"New Jersey",Trenton,"Oliver Avenue",0,5
2016-03,Pennsylvania,Pittsburgh,"1304 Franklin Ave",5,3
2016-03,Texas,"San Antonio","Sherman St",2,3
2016-03,Louisiana,Lafayette,"800 block of Martin Luther King Jr. Drive",0,4
2016-03,Kansas,"Kansas City","3000 block of South 36th Street",5,0
2016-03,Massachusetts,Chelsea,"120 Washington Avenue",1,6
2016-03,Georgia,Roswell,"890 Atlanta St",0,4
2016-03,California,Compton,"900 block of West Victoria Street",1,8
2016-03,Kansas,Wichita,"116 North Mead",0,4
2016-03,Ohio,Columbus,"900 E 5th Ave",1,3
2016-02,Michigan,Detroit,"8800 block of Livernois",0,5
2016-02,California,"Riverside (Jurupa Valley)","5500 block of Etiwanda Avenue",1,3
2016-02,Virginia,"Woodbridge (Lake Ridge)","13051 Lashmere Ct",2,2
2016-02,Washington,Belfair,"300 block of Horseshoe Rd.",5,0
2016-02,Kansas,Hesston,"200 S Ridge Rd",4,14
2016-02,Arizona,Glendale,"4812 West Sunnyside Ave",5,0
2016-02,Florida,"Daytona Beach","1042 Sheridan Road",0,4
2016-02,Texas,Houston,"5100 block of Idaho Street",0,5
2016-02,Missouri,Hazelwood,"7217 N Lindbergh Blvd",1,3
2016-02,Florida,Tampa,"2810 E. Bearss Ave",1,3
2016-02,Michigan,Kalamazoo,"5581 Cracker Barrel Blvd",6,2
2016-02,Alabama,Bessemer,"200 block of Elm Street",1,3
2016-02,Florida,Orlando,"446 S Parramore Ave",0,4
2016-02,Mississippi,Iuka,"231 Co Rd 201",2,3
2016-02,Missouri,Edgerton,"4100 block of Buena Vista Road",4,0
2016-02,California,Vallejo,"509 Porter Street",1,3
2016-02,Texas,Houston,"8449 Gulf Freeway",1,3
2016-02,Alabama,"Eutaw (Union)","Earnest Friday Road",0,5
2016-02,Louisiana,Marrero,"5425 Lapalco Boulevard",0,4
2016-02,Mississippi,"Pass Christian","Davis Avenue",2,4
2016-02,Florida,Orlando,"7432 Universal Blvd",2,10
2016-02,"New York",Rochester,"547 State St",1,7
2016-02,Illinois,"Chicago (Englewood)","6500 block of South Green Street",0,4
2016-02,California,"Los Angeles","12800 block of Cook Street",1,3
2016-02,Florida,Apopka,"10th Street",0,4
2016-02,Florida,Tampa,"8123 N Nebraska Ave",2,6
2016-02,"District of Columbia",Washington,"1500 block of Butler St. SE",0,4
2016-01,Arizona,Glendale,"67th and Missouri Avenue",3,5
2016-01,Virginia,Chesapeake,"1401 N. George Washington Hwy",6,0
2016-01,Washington,Seattle,"Airport Way S. and S. Atlantic St.",2,3
2016-01,California,Perris,"140 S. D Street",1,4
2016-01,California,"Los Angeles","8105 Avalon Blvd",2,2
2016-01,Virginia,"Ware Neck (Gloucester Courthouse)","Ditchley Road and Gill Lane",1,3
2016-01,Delaware,Wilmington,"900 block of Brown Street",1,4
2016-01,"District of Columbia",Washington,"1700 East Capitol Street Northeast",0,4
2016-01,Illinois,Chicago,"1500 block of South Kedzie",1,4
2016-01,Tennessee,Memphis,"3800 block of Kerwood Avenue",1,3
2016-01,Florida,Lakeland,"2312 East Magnolia Street",3,1
2019-04,Michigan,Jackson,"800 block of Homewild St",0,4
2019-04,Mississippi,Jackson,"700 block of Monterey St",1,3
2019-04,Tennessee,Westmoreland,"1100 block of Charles Brown Rd",5,2
2019-04,California,"Los Angeles","700 N San Fernando Rd",0,6
2019-04,California,Poway,"16934 Chabad Way",1,3
2019-04,Oklahoma,Hugo,"400 block of W Bissell St",0,4
2019-04,Pennsylvania,Philadelphia,"1500 block of South 31st St",0,4
2019-04,Tennessee,Memphis,"761 Chestnut Ave",0,5
2019-04,Texas,"Corpus Christi","2900 block of Sunrise Ave",0,4
2019-04,Kansas,Wichita,"1628 S George Washington Blvd",0,4
2019-04,Kentucky,Louisville,"4000 block of Bells Ln",0,4
2019-04,Maryland,Germantown,"18700 block of Curry Powder Ln",1,3
2019-04,California,Stockton,"2539 E Main St",0,4
2019-04,California,Vallejo,"100 block of Princeton Ave",1,3
2019-04,Florida,Miami,"NW 19th Ave and 60th St",2,2
2019-04,California,"Moreno Valley","23500 block of Alessandro Blvd",0,4
2019-04,Illinois,Carbondale,"119 N Washington St",0,4
2019-04,Maryland,Baltimore,"2200 block of Ruskin Ave",1,3
2019-04,California,"Los Angeles","E 103rd St and S Main St",1,4
2019-04,Arizona,Phoenix,"7112 W Minnezona Ave",3,2
2019-04,Missouri,"Kansas City","5339 Michigan Ave",1,3
2019-04,"North Carolina","Winston Salem (Winston-salem)","515 N Cherry St",0,7
2019-04,Indiana,Indianapolis,"3600 block of Roosevelt Ave",2,2
2019-04,Louisiana,Shreveport,"433 Flournoy Lucas Rd",0,4
2019-04,Delaware,Wilmington,"940 N Pine St",0,6
2019-04,Florida,Tallahassee,"500 block of Kissimmee St",0,4
2019-04,Illinois,Chicago,"6300 block of S Seeley Ave",0,6
2019-04,Georgia,Stockbridge,"300 block of Eagle Ct",3,2
2019-04,Florida,"Panama City","100 block of Allen Ave",1,3
2019-04,Mississippi,Hermanville,"13195 MS 18",0,4
2019-04,Kentucky,Covington,"300 block of 13th St",0,5
2019-03,Illinois,Chicago,"500 block of N Hamlin Ave",1,4
2019-03,Georgia,Atlanta,"3041 Landrum Dr SW",1,4
2019-03,"South Carolina","North Charleston","1900 block of Jacksonville Rd",0,7
2019-03,Maryland,Baltimore,"6200 block of Boston St",0,4
2019-03,Nevada,"North Las Vegas","2400 block of W San Miguel St",0,5
2019-03,California,"San Francisco","1300 Fillmore St",1,6
2019-03,Arizona,Phoenix,"2202 W McDowell Rd",0,7
2019-03,Arizona,Phoenix,"8526 N 27th Ave",2,4
2019-03,Georgia,Augusta,"900 block of Broad St",0,4
2019-03,Georgia,Rochelle,"Dennis St",1,3
2019-03,Nevada,"Las Vegas","600 E Fremont St",0,4
2019-03,"New Jersey",Camden,"619 Ferry Ave",1,3
2019-03,Alabama,Mobile,"515 Dauphin Island Pkwy",2,4
2019-03,Montana,Missoula,"5145 Airway Blvd",1,3
2019-03,Illinois,Harvey,"14701 S Wood St",1,3
2019-03,"New Jersey",Paterson,"291 12th Ave",0,4
2019-03,Louisiana,Shreveport,"2700 block of San Jacinto Ave",0,4
2019-03,Colorado,Denver,"15th St and Market St",1,4
2019-03,California,Oakland,"316 14th St",0,4
2019-03,Illinois,Chicago,"2900 block of E 79th St",0,6
2019-03,Arkansas,"Pine Bluff","723 East 25th Ave",1,4
2019-02,California,Oakland,"9755 Edes Ave",1,3
2019-02,Alabama,Birmingham,"1100 block of Carnation Dr",2,2
2019-02,Maryland,Baltimore,"500 block of Bloom St",1,4
2019-02,Kentucky,Elizabethtown,"600 N Miles St",2,2
2019-02,Texas,Houston,"12800 block of Eastbrook Dr",2,2
2019-02,Tennessee,Covington,"529 N College St",0,4
2019-02,Texas,Henderson,"504 S Van Buren St",2,2
2019-02,Indiana,Evansville,"664 E Illinois St",0,5
2019-02,Louisiana,"New Orleans","Tulane Ave and Elk Pl",1,5
2019-02,Mississippi,Clinton,"1214 Foxhill Dr",5,0
2019-02,Illinois,Aurora,"641 Archer Ave",6,6
2019-02,Florida,Jacksonville,"5905 Redpoll Ave",2,2
2019-02,Texas,Livingston,"3628 FM 3126",5,0
2019-02,Virginia,Petersburg,"109 Perry St",0,4
2019-02,"New York",Brooklyn,"1778 Fulton St",1,3
2019-02,Texas,"San Antonio","538 Hot Wells Blvd",2,2
2019-02,"District of Columbia",Washington,"2341 Pennsylvania Avenue SE",0,4
2019-02,Louisiana,"Baton Rouge","4000 block of Topeka St",0,4
2019-02,California,"Palm Springs","E Sunny Dunes Rd and El Placer Rd",4,0
2019-02,Illinois,Chicago,"938 E 75th St",2,5
2019-02,California,"San Diego","6800 block of Springfield St",0,4
2019-01,Texas,Houston,"7815 Harding St",2,4
2019-01,Alabama,Birmingham,"Avenue O and Warrior Rd",0,5
2019-01,Louisiana,Gonzales,"42350 Church Point Rd",5,0
2019-01,Indiana,Indianapolis,"2957 N Sherman Dr",0,5
2019-01,Georgia,Albany,"300 block of West Roosevelt",0,4
2019-01,"New Jersey",Newark,"612 Bergen St",1,3
2019-01,Georgia,Rockmart,"148 W Church Rd",4,1
2019-01,Pennsylvania,"State College","1450 S Atherton St",4,1
2019-01,Florida,Sebring,"1901 US 27 S",5,0
2019-01,Florida,Miami,"26133 SW 139th Ave",0,4
2019-01,Pennsylvania,Lebanon,"1140 Church St",0,4
2019-01,"South Carolina",Gaffney,"1435 Wilcox Ave",1,4
2019-01,Texas,Houston,"7041 Sherman St",3,2
2019-01,Illinois,Chicago,"4400 block of W Madison St",0,4
2019-01,Florida,Jacksonville,"11445 Brian Lakes Drive",3,2
2019-01,Kentucky,Owensboro,"940 Audubon Ave",3,1
2019-01,California,Palmdale,"Ranch Center Dr and 40th St W",3,1
2019-01,Florida,Jacksonville,"Emerson St and Spring Park Rd",1,5
2019-01,Arkansas,"Little Rock","5420 Baseline Rd",1,3
2019-01,Arizona,Phoenix,"2445 E Van Buren St",1,5
2019-01,"New Mexico",Roswell,"1300 block of W College Blvd",0,4
2019-01,Virginia,Hurt,"3197 Shula Dr",3,2
2019-01,California,Torrance,"22501 Hawthorne Blvd",3,4
2019-01,Arizona,Yuma,"3800 block of E. County 18 St",1,3
2019-01,Arkansas,Jonesboro,"3516 Galaxy St",1,3
2019-01,"South Carolina",Columbia,"1709 Decker Blvd",0,5
2019-01,Florida,Tallahassee,"2020 W Pensacola St",0,5
